3 Proto Budget :;168,778;€;;Mouser Order;;;;;;;;;;;;;
;;;;Already in stock;;;;;;;;;;;;;
;Price;VAT/Transport;;Not a component;;;;;;;;;;;;;
Mouser Order;80,24;16,048;;Aliexpress Order;;;;;;;;;;;;;
Aliexpress Order;10,49;10;;;;;;;;;;;;;;;
JLCPCB Manufacturing;2;10;;;;;;;;;;;;;;;
Review;40;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Designator;Footprint;Quantity;Designation;Mouser;;;;LCSC;;;;Aliexpress;;STOCK;"ORDER
nb";"Mouser
Order";"Aliexpress
Order"
;;;;REF;Price(HT);Minimum;Manufacturer;REF;Price (€);Min;Manufacturer;Price (€);Nb min;;;;
U11;ESP32-WROVER;1;ESP32_WROVER;356-ESP32WRVIE2864UC;3,15;1;Espressif Systems;C529591;3,9246;1;Espressif Systems;;;0;3;9,45;
U14,U12,U16;F34G1A7Q1E8C24;3;~;649-F34G1A7Q1E8C24;0,437;1;Amphenol Aorora;C5373439;0,0636;5;SHOU HAN;;;0;10;3,71;
U15,U13;Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering;2;BME280;262-BME280;5,9;1;Bosch Sensortec;C92489;3,4781;1;Bosch Sensortec;;;0;4;23,6;
U2;VSON10_BQ25171_3X3_TEX-M;1;BQ25171QWDRCRQ1;595-BQ25171QWDRCRQ1;1,71;1;Texas Instruments;C2861221;1,3995;1;Texas Instruments;;;12;;;
U3;SOIC-16_3.9x9.9mm_P1.27mm;1;CH340C;;;;;C84681;0,4433;1;WCH(Jiangsu Qin Heng);0,468;5;0;5;;2,34
U4;SOT-363_SC-70-6;1;UMH3N;755-UMH3NTN;0,428;1;ROHM Semiconductor;C62892;0,0502;10;Jiangsu Changjing;;;0;5;2,14;
U5;SIM800L-CORE;1;SIM800L-CORE;;;;;;;;;2,77;1;2;;;
U6;SOT-23-6_Handsoldering;1;FS8205;;;;;C32254;0,169;5;Fortune Semicon;0,098;10;0;5;;0,98
U7;SOT-23-6_Handsoldering;1;HY2112 (HB);;;;;C168763;0,1222;5;HYCON Tech;0,319;10;0;5;;3,19
U8;SOT-23-6_Handsoldering;1;TLV61070A;595-TLV61070ADBVR;0,465;1;Texas Instruments;C6881375;0,2857;5;Texas Instruments;;;0;5;2,325;
U9;SOT-23-3;1;XC6206P252MR-G;865-XC6206P252MR-G;0,577;1;Torex Semiconductor;C5250983;0,0168;20;TWGMC;;;0;5;2,885;
;;74;;;;;;;;;;;;;;80,24;10,49
